Threads,Samples,Repetition,Time,Loss,CPI Rate,Effective Physical Core Utilization (%),Memory Bound (%),Cache Bound (%)
1,100,1,0.129439,0.026401,0.429,3,0,0
1,100,2,0.250756,0.035484,0.5,3.6,0,0
1,100,3,0.128935,0.02639,0.5,4.8,0,0
1,100,4,0.128804,0.053753,0.52,5,0,0
1,100,5,0.12844,0.035483,0.5,3.6,0,0
1,1000,1,0.980768,-nan,0.485,5,11.9,10.3
1,1000,2,1.175757,0.020984,0.485,4.8,11.7,10.3
1,1000,3,1.175607,0.026402,0.487,4.9,11.3,10.3
1,1000,4,1.179282,0.026405,0.485,4.9,11.2,10.3
1,1000,5,1.177889,0.026396,0.485,4.9,11.5,10.3
1,10000,1,23.678554,0.026405,0.972,5,2.5,4.8
1,10000,2,23.622951,0.035493,0.975,4.9,2.3,4.4
1,10000,3,23.653332,0.035492,0.975,4.9,2.3,4.4
1,10000,4,23.558992,0.035494,0.976,4.9,2.4,4.5
1,10000,5,23.652075,0.035492,0.983,4.9,3,5.4
1,100000,1,218.666263,-nan,0.98,4.9,2.6,4.5
1,100000,2,235.878183,0.035498,0.982,4.9,2.9,4.5
1,100000,3,237.141025,0.035497,0.98,5,2.7,4.5
1,100000,4,218.586728,-nan,0.982,4.9,3,4.9
1,100000,5,237.010021,0.026414,0.98,4.9,2.7,4.5
5,100,1,0.071222,0.035484,1.567,10.8,0,0
5,100,2,0.062101,0.035484,1.186,7.7,0,0
5,100,3,0.062752,0.026402,1.184,6.5,0,0
5,100,4,0.062254,0.026391,1.179,6.1,10,13.2
5,100,5,0.071827,0.035484,1.171,5.5,21.3,29.7
5,1000,1,0.361103,0.035488,0.737,12.4,15.2,14.2
5,1000,2,0.360741,0.026396,0.731,12.4,15.7,12.1
5,1000,3,0.363136,0.026396,0.737,12.3,15.9,14.2
5,1000,4,0.360707,0.026394,1.225,13.4,6.8,8.8
5,1000,5,0.614132,0.035489,0.739,12,14.4,14.4
