Threads,Samples,Repetition,Time,Loss,CPI Rate,Effective Physical Core Utilization (%),Memory Bound (%),Cache Bound (%)
1,100,1,0.109127,0.02639,0.5,2.5,0,0
1,100,2,0.100228,0.035484,0.5,4,0,0
1,100,3,0.100253,0.035484,0.5,3,0,0
1,100,4,0.100158,0.026401,0.5,6,0,0
1,100,5,0.099852,0.026401,1,4.5,0,0
1,1000,1,0.905478,0.035488,0.485,4.8,10.9,10.3
1,1000,2,0.753919,-nan,0.487,4.8,10.6,10.3
1,1000,3,0.906468,0.026393,0.485,4.7,11.4,10.3
1,1000,4,0.906372,0.035489,0.485,4.6,10.9,10.3
1,1000,5,0.906476,0.026396,0.485,4.7,11.4,10.3
1,10000,1,18.13084,0.035492,1.439,4.9,1.6,4.4
1,10000,2,18.139633,0.035495,0.975,5,2.3,4.5
1,10000,3,8.918126,0.026406,0.975,5,2.4,4.5
1,10000,4,18.133011,0.035492,0.481,4.9,10.9,11.2
1,10000,5,18.13329,0.035493,0.481,4.9,10.6,11
1,100000,1,181.746788,0.035514,0.98,4.9,2.7,4.5
1,100000,2,181.484277,0.03551,0.981,4.9,2.9,4.8
1,100000,3,181.776804,0.035497,0.98,4.9,2.7,4.4
1,100000,4,181.983304,0.035498,0.98,4.9,2.7,4.5
1,100000,5,168.165338,-nan,0.981,4.9,2.7,4.4
5,100,1,0.108608,0.026402,1.519,21.4,61.6,59.4
5,100,2,0.088999,0.035483,1.453,29,56.3,58.9
5,100,3,0.105123,0.035483,1.522,14.4,53.8,60.9
5,100,4,0.091769,0.035483,1.597,29.9,54.9,49.2
5,100,5,0.087755,0.053753,1.58,18.5,55.3,53.9
5,1000,1,0.240645,0.035489,0.599,20.5,29.8,20.3
5,1000,2,0.241625,0.020992,0.594,19.5,20,15.4
5,1000,3,0.241508,0.035488,0.596,19.5,30,20.3
5,1000,4,0.242266,0.035489,0.597,20.5,29.8,20.4
5,1000,5,0.242831,0.026402,0.603,19.5,18.8,15.3
5,10000,1,3.996502,0.035493,1.012,24.4,4,6
5,10000,2,1.971187,0.035493,1.011,24.4,4,6
5,10000,3,4.003998,0.03549,1.015,24.5,4.4,6.3
5,10000,4,3.9969,0.026396,1.012,24.3,4.1,6
5,10000,5,3.99696,0.026406,0.959,24.3,1.7,4
5,100000,1,39.807329,0.035518,1.006,24.6,3.8,5.7
5,100000,2,39.800984,0.035512,0.949,24.6,1.2,3.4
5,100000,3,39.792984,0.035516,1.466,24.7,2.6,5.3
5,100000,4,39.808864,0.035497,1.005,24.6,3.7,5.6
5,100000,5,39.790848,0.035516,1.466,24.6,2.5,5.2
10,100,1,0.158762,0.035483,3.2,27.8,80.8,76.1
10,100,2,0.158682,0.026391,3.6,34.1,57.2,57
10,100,3,0.164052,0.035483,3.173,32.8,76.7,70.5
10,100,4,0.154412,0.035483,3.553,35.9,60.7,54.7
10,100,5,0.169008,0.035484,3.276,34.3,77.2,66.4
10,1000,1,0.216284,0.035488,0.884,35,36.4,23.2
10,1000,2,0.22079,0.026396,0.87,28.9,39.3,33.2
10,1000,3,0.2135,0.026396,0.87,29.1,46.1,38.6
10,1000,4,0.220542,0.026396,0.882,42.5,39.5,33.8
10,1000,5,0.217187,0.035489,0.899,32.7,50.7,44
10,10000,1,2.222101,0.035492,0.529,48.6,16.5,13.8
10,10000,2,2.217173,0.035493,1.033,47.9,5.5,6.4
10,10000,3,2.246463,0.026405,1.023,48.6,5,6.2
10,10000,4,1.139112,0.026395,1.023,49,4.9,6.2
10,10000,5,2.20986,0.026395,1.025,49.1,4.9,6.1
10,100000,1,21.319521,0.035515,0.942,49.3,1,3.3
10,100000,2,21.318153,0.026397,0.998,49.3,3.5,5.6
10,100000,3,21.324845,0.0355,0.998,49.4,3.5,5.6
10,100000,4,21.318431,0.035502,0.999,49.2,3.5,5.6
10,100000,5,21.864065,0.03549,0.999,49.2,3.5,5.6
20,100,1,0.255794,0.035483,4.367,64.2,67.5,62.1
20,100,2,0.223734,0.035484,4.534,66.1,72.9,70.9
20,100,3,0.265702,0.035484,4.603,50.4,85.9,74.9
20,100,4,0.235501,0.035483,4.531,63.1,72.5,64.6
20,100,5,0.255876,0.035484,4.571,76,73,60
20,1000,1,0.288432,0.026405,1.806,84.2,59.4,49.1
20,1000,2,0.281522,0.026405,1.739,70.9,60.1,54.8
20,1000,3,0.287842,0.026394,1.836,78.2,60.5,48.7
20,1000,4,0.277747,0.035488,1.768,88.5,58.4,48.5
20,1000,5,0.287463,0.026396,1.848,64.5,63.5,57.8
20,10000,1,1.285967,0.035493,1.142,91.7,13.7,10.9
20,10000,2,1.207894,-nan,0.676,89.4,32.7,22
20,10000,3,1.274677,0.035492,1.145,92.2,13,10.9
20,10000,4,1.290743,0.026398,1.143,92.6,12.7,10.5
20,10000,5,0.75221,0.035491,1.145,92.6,12.9,10.8
20,100000,1,10.790395,0.035488,0.953,97.6,1.4,3.6
20,100000,2,10.797562,0.026411,1.468,98.2,2.6,5.4
